conns,streams_per_conn,repeat,idle_rss_kb,peak_rss_kb,settled_rss_kb,peak_streams,peak_bridge_bytes,live_after,achieved_rps,completed,failed,shed,responses_5xx
500,8,1,6016,146000,146016,3940,602040,0,5705,85578,0,0,0
500,20,1,5984,174048,174064,7843,753664,0,5564,83467,0,0,0
500,40,1,5920,172080,172096,10950,802825,0,5529,82930,0,0,0
500,40,2,6016,182656,182672,9440,718339,0,5515,82729,0,0,0
500,20,2,6016,180688,180704,7837,638979,0,5472,82075,0,0,0
500,8,2,5968,150832,150848,3934,479700,0,5447,81711,0,0,0
500,8,3,5968,146640,146656,3920,704512,0,5464,81967,0,0,0
500,20,3,6080,162960,162992,7765,917505,0,5412,81179,0,0,0
500,40,3,5952,189120,189152,9747,933888,0,5397,80954,0,0,0
