profile,offered_rps,achieved_rps,completed,failed,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,closed_loop_p99_ms,dispatch_lag_p99_ms,streams_peak,allocator
echo,2000,2000,30000,0,0.265,0.299,0.441,11.544,17.903,0.263,0.181,0,system
echo,5000,5000,75000,0,0.101,0.111,0.201,2.714,7.012,0.133,0.070,0,system
echo,10000,10000,150000,0,0.076,0.090,0.248,16.459,28.610,0.177,0.082,0,system
echo,15000,15000,224999,0,0.066,0.092,0.442,18.368,32.871,0.276,0.151,0,system
echo,20000,20000,300000,0,0.067,0.100,0.222,3.963,13.955,0.177,0.058,0,system
echo,25000,25000,375000,0,0.076,0.093,0.162,6.489,16.741,0.133,0.039,0,system
echo,30000,30000,450005,0,0.118,0.283,8.517,10.841,11.423,8.492,0.046,0,system
echo,40000,40000,600000,0,158.413,258.169,354.276,430.928,787.336,334.332,163.647,0,system
echo,50000,50000,750000,0,166.168,259.129,402.406,549.234,930.824,277.911,239.203,0,system
